age,mx_males_UK,mx_females_UK,mx_males_FR,mx_females_FR,p_death_males_annual_NL,p_death_females_annual_NL
98,0.403135,0.352456,0.3789,0.31015,0.3666,0.318
99,0.453901,0.380825,0.41418,0.34539,0.3666,0.318
100,0.485254,0.425334,0.45037,0.38243,0.3666,0.318
101,0.485254,0.425334,0.48709,0.42088,0.3666,0.318
102,0.485254,0.425334,0.52395,0.46031,0.3666,0.318
103,0.485254,0.425334,0.56055,0.50025,0.3666,0.318
104,0.485254,0.425334,0.59651,0.54019,0.3666,0.318
105,0.485254,0.425334,0.63146,0.57961,0.3666,0.318
106,0.485254,0.425334,0.66507,0.61805,0.3666,0.318
107,0.485254,0.425334,0.6971,0.65506,0.3666,0.318
108,0.485254,0.425334,0.72732,0.69028,0.3666,0.318
109,0.485254,0.425334,0.75557,0.72343,0.3666,0.318
110,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
111,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
112,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
113,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
114,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
115,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
116,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
117,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
118,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
119,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
120,0.485254,0.425334,0.78178,0.75429,0.3666,0.318
